name,spike,length,width,height,He,sd,U,err,Th,err,Ca,err,P,err,Si,err,Cl,err,Sm,err,U,err,Th,err
,[ml],[um],[um],[um],4,[ncc],238,[cps],232,[cps],43,[cps],31,[cps],29,[cps],35,[cps],147,[cps],235,[cps],230,[cps]
SS1,,,,,,,75919.21456,1468.817615,69431.77515,1113.038651,802308.4646,50194.66224,18501695.47,1234997.344,576999.8593,49398.36551,277962.8053,26390.69014,13213.31574,342.7509896,213.5311765,40.59715233,413.9269118,79.74244607
SS2,,,,,,,78889.01926,1471.546903,72193.73897,1092.005971,878886.2,55083.21485,19501906.94,1421750.789,622419.7,54778.19859,313890.1112,26129.4582,13884.36044,373.1446001,226.1780882,39.13482071,160.2448529,29.50839645
SS3,,,,,,,75613.63676,1218.463521,71385.29412,1098.08659,914820.6447,40157.69634,21458871.92,869306.7867,585882.3528,60723.81114,372018.1551,25121.87865,14277.84618,436.4156142,249.6098529,48.71442578,387.0635294,70.69036998
SS4,,,,,,,74382.23779,1266.566281,71032.28147,1291.760293,873725.5075,32850.98034,20698321.56,1136826.584,568574.8474,45776.61171,361577.2366,23010.51016,14023.51691,359.4351669,188.6279412,34.85244155,159.7060294,30.94862045
SS5,,,,,,,77937.68809,1445.929034,73468.39235,1233.71831,964815.9249,41061.48544,21387170.22,1329803.219,681091.2203,55864.49162,367182.7179,27752.56115,14659.19456,371.8972476,286.9633824,53.27084848,394.6126471,82.93953517
SS6,,,,,,,77353.68074,1288.738549,73982.93676,1080.304238,935741.3616,53337.67918,22001257.36,815871.7641,643755.7451,51414.94652,365056.2144,26293.55754,14700.77309,359.1756213,262.1105882,42.67665085,225.9329412,49.40162569
DUR35,0.0533,,,,0.7675,0.0058,25579.22926,608.9775273,304326.3051,4069.691458,889996.3941,40320.8415,10127836.59,430583.273,563904.1001,54448.72863,715182.0693,45052.55705,48748.91279,775.541991,150047.3541,1878.627382,177306.7637,2050.337543
DUR36,0.0539,,,,1.0069,0.007553807,30775.40956,591.8935491,391098.3672,3702.315207,1038201.535,37611.59749,12234068.95,531542.6411,530222.4606,53443.8108,706452.9174,47419.59715,56790.68559,992.9379297,146316.8006,2065.556508,173416.441,1823.748707
DUR37,0.0575,,,,1.0928,0.008149847,34765.47515,790.2099974,426161.3731,5234.92863,1267524.997,63261.01117,13615936.43,811392.0868,632944.3188,48381.36285,680945.0846,37942.67487,63562.72338,960.4268287,156392.8993,1984.572424,184810.6766,2145.242758
